drift_key,name,kind,group,state,expression,target_arns,target_invocation_ages_h,invocation_basis
behavior-mirror-weekly,behavior-mirror-weekly,events,,ENABLED,cron(0 13 ? * SUN *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-behavior-mirror,2.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
best-ideas-daily,best-ideas-daily,events,,ENABLED,cron(45 14 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-best-ideas,1.587,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
beta-laggard-daily,beta-laggard-daily,events,,ENABLED,cron(30 13 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-beta-laggard,2.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
causality-scanner-weekly,causality-scanner-weekly,events,,ENABLED,cron(0 21 ? * SUN *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-causality-scanner,2.254,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
concentration-liquidity-daily,concentration-liquidity-daily,events,,ENABLED,cron(0 14 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-concentration-liquidity,2.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
convexity-scorer-daily,convexity-scorer-daily,events,,ENABLED,cron(0 14 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-convexity-scorer,26.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
crypto-narratives-6h,crypto-narratives-6h,events,,ENABLED,cron(0 */6 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-crypto-narratives,4.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/calibration-snapshotter-weekly,calibration-snapshotter-weekly,scheduler,default,ENABLED,cron(0 4 ? * SUN *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-calibration-snapshotter:live,no invocation observed in 48h,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/compound-aggregator-daily,compound-aggregator-daily,scheduler,default,ENABLED,cron(15 21 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-compound-aggregator,19.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/house-ptr-extract-6h,house-ptr-extract-6h,scheduler,default,ENABLED,"cron(10 1,7,13,19 * * ? *)",arn:aws:lambda:us-east-1:857687956942:function:justhodl-house-ptr-extract,3.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-accum-composite-daily,justhodl-accum-composite-daily,scheduler,default,ENABLED,cron(30 21 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-accum-composite,18.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-ai-inventory,justhodl-ai-inventory,scheduler,default,ENABLED,cron(7 * * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-ai,0.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-ai-market-read,justhodl-ai-market-read,scheduler,default,ENABLED,cron(45 5 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-ai,0.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-ai-pipeline,justhodl-ai-pipeline,scheduler,default,ENABLED,rate(10 minutes),arn:aws:lambda:us-east-1:857687956942:function:justhodl-ai,0.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-asia-trade-24h,justhodl-asia-trade-24h,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-asia-trade-full,0.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-auction-desk-buyback,justhodl-auction-desk-buyback,scheduler,default,ENABLED,cron(10 12 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-auction-desk,19.754,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-auction-desk-late,justhodl-auction-desk-late,scheduler,default,ENABLED,cron(35 16 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-auction-desk,19.754,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-auction-desk-morning,justhodl-auction-desk-morning,scheduler,default,ENABLED,cron(15 9 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-auction-desk,19.754,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-auction-desk-results,justhodl-auction-desk-results,scheduler,default,ENABLED,cron(40 13 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-auction-desk,19.754,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-backlog-miner,justhodl-backlog-miner,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-backlog-miner,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-base-rates-weekly,justhodl-base-rates-weekly,scheduler,default,ENABLED,cron(30 14 ? * SAT *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-base-rates,1.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-beaters-grader-weekly,justhodl-beaters-grader-weekly,scheduler,default,ENABLED,cron(0 15 ? * SAT *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-beaters-grader,1.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-blackswan-watch,justhodl-blackswan-watch,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-blackswan-watch,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-bloomberg-v8-hourly,justhodl-bloomberg-v8-hourly,scheduler,default,ENABLED,rate(1 hour),arn:aws:lambda:us-east-1:857687956942:function:justhodl-bloomberg-v8,0.254,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-bls-full-12h,justhodl-bls-full-12h,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-bls-full,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-boe-full-12h,justhodl-boe-full-12h,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-boe-full,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-boj-full-12h,justhodl-boj-full-12h,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-boj-full,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-boj-full-fanout,justhodl-boj-full-fanout,scheduler,default,ENABLED,rate(30 minutes),arn:aws:lambda:us-east-1:857687956942:function:justhodl-boj-full,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-bond-warroom-after-auction,justhodl-bond-warroom-after-auction,scheduler,default,ENABLED,cron(35 13 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-bond-warroom,17.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-bond-warroom-close,justhodl-bond-warroom-close,scheduler,default,ENABLED,cron(45 16 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-bond-warroom,17.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-bond-warroom-early,justhodl-bond-warroom-early,scheduler,default,ENABLED,cron(30 7 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-bond-warroom,17.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-bond-warroom-evening,justhodl-bond-warroom-evening,scheduler,default,ENABLED,cron(15 19 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-bond-warroom,17.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-bond-warroom-mid,justhodl-bond-warroom-mid,scheduler,default,ENABLED,cron(0 10 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-bond-warroom,17.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-bottom-daily,justhodl-bottom-daily,scheduler,default,ENABLED,cron(45 3 ? * TUE-SAT *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-bottom,12.587,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-bottom-signals,justhodl-bottom-signals,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-bottom-signals,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-catalyst,justhodl-catalyst,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-catalyst,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-catalyst-chain-daily,justhodl-catalyst-chain-daily,scheduler,default,ENABLED,cron(15 22 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-catalyst-chain,18.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-census-econ-dispatch,justhodl-census-econ-dispatch,scheduler,default,ENABLED,rate(15 minutes),arn:aws:lambda:us-east-1:857687956942:function:justhodl-census-us,0.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-census-us-15min,justhodl-census-us-15min,scheduler,default,ENABLED,rate(15 minutes),arn:aws:lambda:us-east-1:857687956942:function:justhodl-census-us,0.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-chain-resumer-5min,justhodl-chain-resumer-5min,scheduler,default,ENABLED,rate(5 minutes),arn:aws:lambda:us-east-1:857687956942:function:justhodl-chain-resumer,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-cycle-features-daily,justhodl-cycle-features-daily,scheduler,default,ENABLED,cron(30 10 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-cycle-features,5.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-distribution-composite-daily,justhodl-distribution-composite-daily,scheduler,default,ENABLED,cron(0 22 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-distribution-composite,18.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-dol-full-6h,justhodl-dol-full-6h,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-dol-full,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-dxy-predict,justhodl-dxy-predict,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-dxy-predict,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-ecb-deep-10min,justhodl-ecb-deep-10min,scheduler,default,ENABLED,rate(6 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-ecb-deep,3.92,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-ecb-rewalk-weekly,justhodl-ecb-rewalk-weekly,scheduler,default,ENABLED,cron(15 3 ? * SUN *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-sdmx-walker,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-engine-fusion-hourly,justhodl-engine-fusion-hourly,scheduler,default,ENABLED,cron(15 * * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-engine-fusion:live,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-finra-full-6h,justhodl-finra-full-6h,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-finra-full,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-finra-full-weekly,justhodl-finra-full-weekly,scheduler,default,ENABLED,rate(7 days),arn:aws:lambda:us-east-1:857687956942:function:justhodl-finra-full,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-fiscaldata-full-2h,justhodl-fiscaldata-full-2h,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-fiscaldata-full,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-fiscaldata-full-weekly,justhodl-fiscaldata-full-weekly,scheduler,default,ENABLED,rate(7 days),arn:aws:lambda:us-east-1:857687956942:function:justhodl-fiscaldata-full,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-floor-audit-daily,justhodl-floor-audit-daily,scheduler,default,ENABLED,cron(35 21 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-floor-audit,18.754,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-foreign-flows-daily,justhodl-foreign-flows-daily,scheduler,default,ENABLED,cron(30 21 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-foreign-flows,18.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-fortress-backtest-weekly,justhodl-fortress-backtest-weekly,scheduler,default,ENABLED,cron(0 9 ? * SUN *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-fortress,12.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-fortress-daily,justhodl-fortress-daily,scheduler,default,ENABLED,cron(30 3 ? * TUE-SAT *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-fortress,12.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-frbddp-full-12h,justhodl-frbddp-full-12h,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-frbddp-full,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-gdelt-full-30m,justhodl-gdelt-full-30m,scheduler,default,ENABLED,rate(6 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-gdelt-full,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-global-flows-daily,justhodl-global-flows-daily,scheduler,default,ENABLED,cron(0 10 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-global-flows,6.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-hist-banker-weekly,justhodl-hist-banker-weekly,scheduler,default,ENABLED,cron(45 4 ? * WED *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-hist-banker,no invocation observed in 48h,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-hot-money-daily,justhodl-hot-money-daily,scheduler,default,ENABLED,cron(50 9 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-hot-money,6.504,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-imf-full-6h,justhodl-imf-full-6h,scheduler,default,DISABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-imf-full,0.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-imf-full-weekly,justhodl-imf-full-weekly,scheduler,default,ENABLED,rate(7 days),arn:aws:lambda:us-east-1:857687956942:function:justhodl-imf-full,0.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-impact-graph-daily,justhodl-impact-graph-daily,scheduler,default,ENABLED,cron(10 5 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-impact-graph,11.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-import-sentinel-10min,justhodl-import-sentinel-10min,scheduler,default,ENABLED,rate(10 minutes),arn:aws:lambda:us-east-1:857687956942:function:justhodl-import-sentinel,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-invest-daily,justhodl-invest-daily,scheduler,default,ENABLED,cron(0 15 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-invest,1.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-jh-fusion-daily,justhodl-jh-fusion-daily,scheduler,default,ENABLED,cron(20 5 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-jh-fusion,0.42,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-jhsignal-bridge-hourly,justhodl-jhsignal-bridge-hourly,scheduler,default,ENABLED,rate(1 hour),arn:aws:lambda:us-east-1:857687956942:function:justhodl-jhsignal-bridge,0.42,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-ka-metrics-hourly,justhodl-ka-metrics-hourly,scheduler,default,ENABLED,rate(1 hour),arn:aws:lambda:us-east-1:857687956942:function:justhodl-ka-metrics,0.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-katlin-backtest-weekly,justhodl-katlin-backtest-weekly,scheduler,default,ENABLED,cron(30 9 ? * SUN *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-katlin:live,0.254,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-katlin-daily,justhodl-katlin-daily,scheduler,default,ENABLED,cron(10 4 ? * TUE-SAT *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-katlin:live,0.254,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-katlin-permission-refresh,justhodl-katlin-permission-refresh,scheduler,default,ENABLED,rate(15 minutes),arn:aws:lambda:us-east-1:857687956942:function:justhodl-katlin:live,0.254,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-khalid-hourly,justhodl-khalid-hourly,scheduler,default,ENABLED,cron(25 * * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-khalid:live,0.92,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-khalid-metrics-hourly,justhodl-khalid-metrics-hourly,scheduler,default,ENABLED,rate(1 hour),arn:aws:lambda:us-east-1:857687956942:function:justhodl-khalid-metrics,0.254,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-khalid-risk-hourly,justhodl-khalid-risk-hourly,scheduler,default,ENABLED,cron(20 * * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-khalid-risk:live,1.004,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-liq-indicators,justhodl-liq-indicators,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-liq-indicators,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-liquidity-reversal,justhodl-liquidity-reversal,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-liquidity-reversal,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-macro-predict,justhodl-macro-predict,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-macro-predict,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-market-machine,justhodl-market-machine,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-market-machine,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-nyfed-full-history-nightly,justhodl-nyfed-full-history-nightly,scheduler,default,ENABLED,cron(40 4 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-nyfed-full-history,10.92,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-nyfed-markets-full-hourly,justhodl-nyfed-markets-full-hourly,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-nyfed-markets-full,0.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-nyfed-markets-hourly-s,justhodl-nyfed-markets-hourly-s,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-nyfed-markets-full,0.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-nyfed-repo-deep-daily,justhodl-nyfed-repo-deep-daily,scheduler,default,ENABLED,cron(22 5 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-nyfed-repo-deep,11.004,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-oecd-retry-hourly,justhodl-oecd-retry-hourly,scheduler,default,ENABLED,rate(15 minutes),arn:aws:lambda:us-east-1:857687956942:function:justhodl-sdmx-walker,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-official-pulse-weekly,justhodl-official-pulse-weekly,scheduler,default,ENABLED,cron(0 9 ? * FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-official-pulse,31.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-options-flow-30m,justhodl-options-flow-30m,scheduler,default,ENABLED,cron(33 15 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-options-flow,0.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-options-flow-sched,justhodl-options-flow-sched,scheduler,default,ENABLED,cron(25 20 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-options-flow,0.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-physical-econ,justhodl-physical-econ,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-physical-econ,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-pjm-grid,justhodl-pjm-grid,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-pjm-grid,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-plumbing-composite-daily,justhodl-plumbing-composite-daily,scheduler,default,ENABLED,cron(45 10 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-plumbing-composite,5.587,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-polygon-full-2h,justhodl-polygon-full-2h,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-polygon-full,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-port-cargo-daily,justhodl-port-cargo-daily,scheduler,default,ENABLED,cron(40 12 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-port-cargo,3.67,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-provider-window-sentinel-weekly,justhodl-provider-window-sentinel-weekly,scheduler,default,ENABLED,cron(0 9 ? * SUN *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-provider-window-sentinel,no invocation observed in 48h,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-public-archive-index-15min,justhodl-public-archive-index-15min,scheduler,default,ENABLED,cron(0/15 * * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-public-archive-index:live,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-real-economy-collector,justhodl-real-economy-collector,scheduler,default,ENABLED,rate(24 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-real-economy-collector,13.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-repo-daily,justhodl-repo-daily,scheduler,default,ENABLED,cron(10 6 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-repo,10.17,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
default/justhodl-risk-regime-daily,justhodl-risk-regime-daily,scheduler,default,ENABLED,cron(45 12 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-risk-regime,19.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
